GEOID,state_sovi_rank,fema_region_sovi_rank,us_sovi_rank
g06001,,54.0,51.0
g06003,,4.0,36.0
g06005,,15.0,38.0
g06007,,23.0,24.0
g06009,,38.0,37.0
g06011,,13.0,8.0
g06013,,55.0,54.0
g06015,,5.0,16.0
g06017,,56.0,52.0
g06019,,14.0,7.0
g06021,,25.0,18.0
g06023,,39.0,33.0
g06025,,2.0,1.0
g06027,,17.0,13.0
g06029,,32.0,20.0
g06031,,26.0,34.0
g06033,,6.0,9.0
g06035,,33.0,56.0
g06037,,21.0,22.0
g06039,,11.0,6.0
g06041,,47.0,57.0
g06043,,30.0,19.0
g06045,,9.0,11.0
g06047,,12.0,5.0
g06049,,3.0,2.0
g06051,,52.0,42.0
g06053,,18.0,15.0
g06055,,19.0,39.0
g06057,,43.0,41.0
g06059,,35.0,50.0
g06061,,57.0,53.0
g06063,,7.0,17.0
g06065,,45.0,30.0
g06067,,48.0,32.0
g06069,,44.0,35.0
g06071,,46.0,29.0
g06073,,49.0,46.0
g06075,,1.0,43.0
g06077,,34.0,27.0
g06079,,42.0,47.0
g06081,,41.0,55.0
g06083,,24.0,31.0
g06085,,53.0,58.0
g06087,,36.0,48.0
g06089,,29.0,26.0
g06091,,10.0,4.0
g06093,,22.0,10.0
g06095,,58.0,45.0
g06097,,40.0,40.0
g06099,,28.0,21.0
g06101,,31.0,23.0
g06103,,20.0,12.0
g06105,,27.0,14.0
g06107,,8.0,3.0
g06109,,16.0,25.0
g06111,,50.0,49.0
g06113,,51.0,44.0
g06115,,37.0,28.0
g13001,,95.0,126.0
g13003,,62.0,71.0
g13005,,88.0,86.0
g13007,,58.0,4.0
g13009,,13.0,41.0
g13011,,142.0,147.0
g13013,,140.0,136.0
g13015,,130.0,122.0
g13017,,21.0,14.0
g13019,,85.0,92.0
g13021,,66.0,26.0
g13023,,101.0,56.0
g13025,,108.0,112.0
g13027,,42.0,53.0
g13029,,148.0,148.0
g13031,,107.0,116.0
g13033,,65.0,24.0
g13035,,119.0,134.0
g13037,,3.0,76.0
g13039,,131.0,133.0
g13043,,10.0,34.0
g13045,,132.0,117.0
g13047,,135.0,106.0
g13049,,53.0,131.0
g13051,,91.0,79.0
g13053,,112.0,159.0
g13055,,80.0,95.0
g13057,,152.0,150.0
g13059,,41.0,64.0
g13061,,2.0,1.0
g13063,,64.0,58.0
g13065,,22.0,11.0
g13067,,138.0,146.0
g13069,,79.0,111.0
g13071,,59.0,60.0
g13073,,151.0,151.0
g13075,,96.0,80.0
g13077,,147.0,145.0
g13079,,115.0,125.0
g13081,,45.0,19.0
g13083,,125.0,118.0
g13085,,143.0,139.0
g13087,,27.0,25.0
g13089,,84.0,104.0
g13091,,47.0,105.0
g13093,,50.0,108.0
g13095,,55.0,13.0
g13097,,146.0,141.0
g13099,,46.0,17.0
g13101,,9.0,31.0
g13103,,153.0,153.0
g13105,,40.0,18.0
g13107,,30.0,42.0
g13109,,87.0,81.0
g13111,,43.0,32.0
g13113,,158.0,155.0
g13115,,67.0,47.0
g13117,,159.0,158.0
g13119,,68.0,73.0
g13121,,124.0,144.0
g13123,,56.0,68.0
g13125,,33.0,82.0
g13127,,74.0,45.0
g13129,,105.0,97.0
g13131,,69.0,78.0
g13133,,20.0,29.0
g13135,,118.0,142.0
g13137,,103.0,70.0
g13139,,81.0,96.0
g13141,,4.0,10.0
g13143,,110.0,85.0
g13145,,157.0,156.0
g13147,,60.0,50.0
g13149,,116.0,109.0
g13151,,149.0,143.0
g13153,,136.0,127.0
g13155,,75.0,91.0
g13157,,141.0,135.0
g13159,,121.0,107.0
g13161,,104.0,114.0
g13163,,26.0,16.0
g13165,,54.0,21.0
g13167,,38.0,113.0
g13169,,145.0,128.0
g13171,,120.0,88.0
g13173,,70.0,67.0
g13175,,71.0,49.0
g13177,,156.0,157.0
g13179,,122.0,124.0
g13181,,15.0,20.0
g13183,,82.0,87.0
g13185,,114.0,89.0
g13187,,126.0,120.0
g13189,,86.0,62.0
g13191,,94.0,30.0
g13193,,29.0,83.0
g13195,,123.0,102.0
g13197,,31.0,69.0
g13199,,100.0,54.0
g13201,,48.0,44.0
g13205,,61.0,75.0
g13207,,134.0,130.0
g13209,,106.0,129.0
g13211,,129.0,93.0
g13213,,113.0,119.0
g13215,,63.0,40.0
g13217,,144.0,110.0
g13219,,155.0,154.0
g13221,,137.0,137.0
g13223,,154.0,149.0
g13225,,111.0,101.0
g13227,,127.0,123.0
g13229,,83.0,77.0
g13231,,150.0,140.0
g13233,,72.0,63.0
g13235,,18.0,3.0
g13237,,73.0,66.0
g13239,,37.0,39.0
g13241,,12.0,23.0
g13243,,19.0,33.0
g13245,,52.0,35.0
g13247,,133.0,99.0
g13249,,128.0,138.0
g13251,,89.0,52.0
g13253,,36.0,7.0
g13255,,92.0,55.0
g13257,,77.0,37.0
g13259,,5.0,84.0
g13261,,14.0,15.0
g13263,,78.0,36.0
g13265,,7.0,2.0
g13267,,24.0,132.0
g13269,,39.0,43.0
g13271,,1.0,38.0
g13273,,17.0,6.0
g13275,,57.0,46.0
g13277,,76.0,61.0
g13279,,25.0,27.0
g13281,,11.0,5.0
g13283,,44.0,74.0
g13285,,102.0,57.0
g13287,,35.0,28.0
g13289,,109.0,98.0
g13291,,23.0,8.0
g13293,,51.0,22.0
g13295,,117.0,90.0
g13297,,139.0,121.0
g13299,,32.0,48.0
g13301,,28.0,12.0
g13303,,34.0,59.0
g13305,,90.0,115.0
g13307,,98.0,94.0
g13309,,6.0,152.0
g13311,,99.0,103.0
g13313,,49.0,72.0
g13315,,8.0,100.0
g13317,,16.0,9.0
g13319,,93.0,51.0
g13321,,97.0,65.0
g16001,,24.0,38.0
g16003,,16.0,7.0
g16005,,17.0,29.0
g16007,,18.0,16.0
g16009,,14.0,11.0
g16011,,15.0,22.0
g16013,,20.0,33.0
g16015,,41.0,41.0
g16017,,28.0,24.0
g16019,,32.0,31.0
g16021,,26.0,25.0
g16023,,19.0,6.0
g16025,,36.0,39.0
g16027,,8.0,15.0
g16029,,39.0,40.0
g16031,,21.0,26.0
g16033,,23.0,2.0
g16035,,29.0,19.0
g16037,,37.0,34.0
g16039,,33.0,30.0
g16041,,43.0,43.0
g16043,,42.0,27.0
g16045,,2.0,8.0
g16047,,22.0,20.0
g16049,,7.0,4.0
g16051,,38.0,42.0
g16053,,9.0,21.0
g16055,,25.0,28.0
g16057,,31.0,37.0
g16059,,13.0,9.0
g16061,,3.0,1.0
g16063,,27.0,23.0
g16065,,34.0,35.0
g16067,,12.0,12.0
g16069,,10.0,13.0
g16071,,35.0,36.0
g16073,,6.0,14.0
g16075,,5.0,10.0
g16077,,30.0,32.0
g16079,,4.0,5.0
g16081,,44.0,44.0
g16083,,11.0,18.0
g16085,,40.0,17.0
g16087,,1.0,3.0
g17001,,47.0,30.0
g17003,,37.0,1.0
g17005,,57.0,55.0
g17007,,55.0,94.0
g17009,,75.0,102.0
g17011,,50.0,37.0
g17013,,56.0,41.0
g17015,,19.0,11.0
g17017,,6.0,26.0
g17019,,74.0,85.0
g17021,,51.0,39.0
g17023,,46.0,58.0
g17025,,42.0,50.0
g17027,,97.0,88.0
g17029,,41.0,28.0
g17031,,1.0,18.0
g17033,,80.0,75.0
g17035,,65.0,69.0
g17037,,88.0,84.0
g17039,,83.0,73.0
g17041,,23.0,60.0
g17043,,84.0,99.0
g17045,,15.0,21.0
g17047,,63.0,68.0
g17049,,87.0,80.0
g17051,,70.0,65.0
g17053,,32.0,34.0
g17055,,13.0,9.0
g17057,,59.0,42.0
g17059,,4.0,10.0
g17061,,71.0,54.0
g17063,,95.0,95.0
g17065,,31.0,59.0
g17067,,33.0,29.0
g17069,,29.0,13.0
g17071,,36.0,45.0
g17073,,61.0,67.0
g17075,,22.0,20.0
g17077,,66.0,47.0
g17079,,67.0,79.0
g17081,,64.0,51.0
g17083,,85.0,74.0
g17085,,35.0,32.0
g17087,,102.0,93.0
g17089,,16.0,87.0
g17091,,27.0,38.0
g17093,,100.0,101.0
g17095,,14.0,8.0
g17097,,82.0,98.0
g17099,,45.0,48.0
g17101,,101.0,90.0
g17103,,78.0,62.0
g17105,,68.0,70.0
g17107,,54.0,19.0
g17109,,77.0,57.0
g17111,,98.0,100.0
g17113,,94.0,92.0
g17115,,20.0,25.0
g17117,,49.0,43.0
g17119,,73.0,72.0
g17121,,21.0,16.0
g17123,,52.0,36.0
g17125,,25.0,33.0
g17127,,17.0,6.0
g17129,,79.0,64.0
g17131,,58.0,71.0
g17133,,99.0,96.0
g17135,,72.0,24.0
g17137,,43.0,23.0
g17139,,38.0,52.0
g17141,,69.0,76.0
g17143,,34.0,53.0
g17145,,91.0,78.0
g17147,,92.0,89.0
g17149,,26.0,14.0
g17151,,12.0,2.0
g17153,,2.0,3.0
g17155,,89.0,86.0
g17157,,93.0,83.0
g17159,,40.0,49.0
g17161,,7.0,22.0
g17163,,30.0,40.0
g17165,,11.0,12.0
g17167,,60.0,66.0
g17169,,76.0,77.0
g17171,,53.0,56.0
g17173,,62.0,61.0
g17175,,48.0,46.0
g17177,,8.0,7.0
g17179,,86.0,81.0
g17181,,24.0,17.0
g17183,,10.0,15.0
g17185,,44.0,44.0
g17187,,5.0,4.0
g17189,,81.0,82.0
g17191,,28.0,63.0
g17193,,3.0,5.0
g17195,,18.0,31.0
g17197,,90.0,97.0
g17199,,39.0,27.0
g17201,,9.0,35.0
g17203,,96.0,91.0
g23001,,21.0,19.0
g23003,,3.0,5.0
g23005,,36.0,30.0
g23007,,15.0,8.0
g23009,,26.0,15.0
g23011,,14.0,18.0
g23013,,23.0,13.0
g23015,,13.0,17.0
g23017,,12.0,11.0
g23019,,19.0,20.0
g23021,,4.0,6.0
g23023,,33.0,26.0
g23025,,9.0,14.0
g23027,,25.0,16.0
g23029,,1.0,3.0
