,spearman_r_st_fema,pvalue_st_fema,spearman_r_st_us,pvalue_st_us
g23g33g25,0.8994371482176362,3.1108525230430637e-15,,
g36,0.5827352622699,6.721460448047238e-07,,
g51,0.8892105886607067,1.154413661889564e-46,,
g13,0.7994208263673275,1.4333506736723366e-36,,
g17,0.3616547262950167,0.0001878939201002589,,
g48,0.6822090449574992,3.941463490605444e-36,,
g29,0.8024461453483784,4.269832486503179e-27,,
g46,0.8464460912222108,3.5490107331678827e-19,,
g06,0.6854409548125135,2.9207281456322464e-09,,
g16,0.8184637068357997,1.1535069492874167e-11,,
