,USA,FEMA_1,FEMA_2,FEMA_3,FEMA_4,FEMA_5,FEMA_6,FEMA_7,FEMA_8,FEMA_9,FEMA_10
MEDAGE_ACS,0.023970146686681577,0.022745607758545443,0.012946259565709257,0.028067667884516038,0.022342638169415487,0.03797810917775647,0.01829248070620819,0.012714181569632024,0.042733241013063146,0.025536211273173078,0.012763493398689579
BLACK_ACS,-0.0014777719713866037,0.029949292576200486,-0.004627077512570833,0.022747811794755792,0.007321951529904426,0.021333732515886834,-0.026670971543628796,0.024343461988370674,0.03011385424395223,-0.04091690880799641,-0.046293431363241114
QNATAM_ACS,0.017338483176223374,0.027298563625616695,0.011059599265150606,-0.019615999740929688,0.03350184136987153,0.023223676878020974,0.00878114847675152,0.00960148733630433,0.025590117423498118,0.028914592014992316,-0.01771613554496447
QASIAN_ACS,-0.013797330305814232,0.011364224071571696,-0.015914904026038745,-0.00845765163433376,-0.010782787140967344,-0.0018781360337203996,0.0017733463780448188,-0.01248900165934868,0.013876146042915117,-0.004211711282667512,-0.044676269083248024
QHISP_ACS,0.04351534759039876,0.024938952961136372,-0.002429568473350351,0.06752269823350085,0.04757844187201306,0.04387974850556052,0.04295884774434285,0.04495047147650012,0.030493883230157726,0.040354551640488526,0.04310660537223659
QAGEDEP_ACS,0.061840261227709054,0.04848208610006905,0.034871980563308494,0.04878221161241647,0.045630084599408045,0.06416218368624713,0.056459202329024356,0.04053867114820634,0.05411877940617135,0.05256126770066799,0.04566438869484201
QPUNIT_ACS,0.0021692679975995628,-0.008839516806664192,-0.0476625957113213,0.028205860957697844,-0.013871332164692227,-0.005758022071790225,0.0010585624373211332,-0.01197842728676353,-0.00854600583459401,0.012421163443013165,-0.003914042311738508
PRENTER_ACS,0.002086823117330794,0.0053941899643569005,0.017365355643688688,-0.014603860826328759,0.01120235847545838,-0.013292293593768862,0.006356447931609915,0.013041467057362161,-0.007968039874280016,0.003306507127849,0.02724317208841514
QNRRES_ACS,0.021342714132984105,-0.0031979927419023904,0.025694417696750113,0.04195410445532136,0.024964840033218454,0.022206773936674314,0.018344405588363425,0.052431908205479064,0.005726396160306554,0.060190095580609934,0.03931113228259963
QFEMALE_ACS,0.05062320603014021,0.043253006556563584,-0.010984358868840523,0.0014039225283143178,0.00419170254642999,0.04996797569523824,0.03962020397259694,0.045010084978371806,0.04458068717532652,0.01687764827660003,0.05007780829963543
QFHH_ACS,0.025411361264798725,0.041128209672888806,0.007950239607676877,0.03456098648893988,0.017382431518656444,0.0290404681364533,0.020647676223151244,0.038052569080846255,0.021833796680065867,0.04383679443903783,0.0449991805129487
QUNOCCHU_ACS,0.02600626700614389,0.01315939022514827,0.04540093933974653,0.06037492841499514,0.03170025516225769,0.03883071774698077,0.031861310561743836,-0.004809246232309202,0.045021335409661835,0.025140015405371523,-0.027734105574904223
PERCAP_ALT,0.03719043066105447,0.027593849307423292,0.02659474939217343,0.04472847520665456,0.03450003215931459,0.02944651761898237,0.04010389987184874,0.037172948088514235,0.017192986563868043,0.029190138262960165,0.02870066866979433
QESL_ALT,0.03594625263335408,0.03069322020727382,-0.0033041025354975787,0.05920767158178993,0.04839922934939229,0.0522875327302726,0.03646484161943467,0.046124104668833495,0.030715035468280544,0.05305742462547992,0.030614020313840296
QCVLUN,0.014409925521537215,0.06320496305725799,0.03163213658692217,0.02017030089238142,0.027289927432049083,0.012816518468424081,0.006108172162324857,0.0033178724728007702,0.053478710937034935,0.0374952402763522,0.008361966583154946
QPOVTY,0.04088264291548811,0.0461296114892461,0.04894923365996645,0.020716959596085712,0.04239476334712701,0.03186062864102031,0.05208449044305687,0.03702029609142884,0.045493908994155806,0.07071694198788953,0.03275260667119497
QMOHO,0.002034273898110655,-0.0030063501042418813,0.031339491973807455,0.009555401084523575,0.019729296270522657,-0.006454642333410908,-0.030835816256136114,-0.01166504684889514,0.009823383143937497,-0.004904896087007385,0.030383715614112752
QED12LES_ALT,0.03790407102611986,0.03622112566079169,0.03835258764908556,0.0472582230737128,0.03778924558405054,0.045531418057091363,0.03045912744870319,0.054800298810475045,0.05257847052584721,0.05988840142054861,0.045415908978371125
QFEMLBR,0.024755574726303884,0.03673870041714702,0.019551105644759464,0.012550263230479716,0.0072813405080720895,0.0033477081427559165,0.034565608477075224,-0.0013318451120560848,0.05044610316136019,0.02740577349019998,0.03821160117486332
QEXTRCT_ALT,0.017739771981686775,0.016929123222972877,0.029687233954316772,0.0027666180599506592,0.032967494143163883,0.026360202111085293,-0.008432685128800646,0.0069998990052186315,0.008748240780738933,-0.021918787316000853,0.019795753602389582
QSERV_ALT,0.037276788123226635,0.022997729790189436,0.04026887397148049,0.05662938598974723,0.03853812469771708,0.013173045021579354,0.06128876095386861,0.028108615865461425,0.019964549504527446,0.03151308470782589,0.03894079066878937
QSSBEN,0.04885592830428622,0.04380619016247908,0.029624130608929943,0.02720497040829548,0.04075507375224045,0.04521059630411607,0.04336276204784683,0.02984871579327165,0.06005988302620733,0.05547175076073728,0.03824718241550675
QNOAUTO_ALT,0.030455933216784376,0.03911117713894497,0.039350121944078664,0.009905511492136958,0.03816425792248192,0.05990546547870761,0.02367058315569612,0.04533085671891971,0.05059343596151582,0.0611574403763026,0.017819860361042182
QFAM,0.030475642667252903,0.049986575125829734,0.04054203247289493,0.03996733430382529,0.032114488233413195,0.041286393254392185,0.014209126831562908,0.04914295848418962,0.03492638785449604,0.053305519712266554,0.04353144840555262
QRICH200K,0.024936473478818128,0.011313710970969873,0.035009553510073475,0.0319468414329675,0.02746241024817936,0.011497327405149091,0.022113849550772575,0.02444773789977072,0.0012245730386968067,0.0031357148155306725,0.027077910421019757
MDGRENT_ALT,0.029227978964495544,0.02167065706164365,0.035154086976252594,0.012041031733912372,0.020948436319681036,0.0258094475148,0.0331994891304841,0.04467493100015143,0.009478418982474021,0.020105226238281503,0.020317562438851005
MHSEVAL_ALT,0.023922857020730035,0.01833801745062466,0.011133331400267465,0.026982244766036972,0.02579688439455952,0.022163934441855493,0.023885311264855737,0.06349348030002702,0.00888341148262837,-0.010113680908249897,0.020396436717809417
POPDENS,0.014376016934179269,0.02752130408372484,0.036597050322072576,-0.0005156523244507043,0.003862916844537634,0.04049816918512809,0.013255786093153879,0.01780234096220306,0.05452267339769214,0.027605352268560614,-0.04289072674296104
